ParticipantID,TrialNo,TrialID,Layout,Difficulty,AnswerAccuracy,Card1SeenTime,Card2SeenTime,Card3SeenTime,Card4SeenTime,Card5SeenTime,Card1SelectTime,Card2SelectTime,Card3SelectTime,Card4SelectTime,Card5SelectTime
1,5,3,Flat,5,5,0.0331864,0.7225792,0.7440464,6.255985,6.534745,0.1446175,4.810987,5.633947,7.822382,12.56695
1,6,4,Full Circle,5,3,0.022891,0.7866697,2.854139,3.542751,6.675976,2.353204,3.608588,4.420328,6.042198,7.153396
1,9,7,Flat,5,1,0.0234582,0.5335535,0.5441342,1.822048,2.322223,8.166663,8.744295,10.7219,11.32264,14.77743
1,10,8,Full Circle,5,0,0.0211807,0.9198267,1.430968,3.252815,6.064366,6.719391,7.186404,7.786771,8.353144,8.953308
1,3,1,Flat,5,0,0.5333058,0.6334239,4.700083,4.78955,4.86643,3.489136,4.178366,6.278403,7.355574,10.18917
1,3,1,Flat,5,3,0.5423295,0.5978485,7.898611,8.142208,9.764046,4.842634,5.653429,9.18655,10.03072,12.16421
1,4,2,Full Circle,5,3,0.0235522,0.8889055,1.633201,1.866212,6.099524,2.966027,3.733088,4.82145,5.533726,6.399906
1,5,3,Flat,5,5,0.0210993,0.6671758,0.7899356,8.867732,9.344917,4.678668,5.61177,8.912277,9.800598,12.58918
1,6,4,Full Circle,5,0,0.7526007,2.399087,5.087172,5.797119,6.697307,3.385898,4.074866,5.553403,6.109111,6.852968
1,4,2,Full Circle,5,5,0.0259132,1.978288,4.567215,5.7462,7.990741,4.112582,5.046278,6.400662,7.244994,8.623489
