TimeSinceStart,TrialNo,TrialID,ParticipantID,ExperimentSequence,Layout,Difficulty,TrialState,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,MainControllerPosition.x,MainControllerPosition.y,MainControllerPosition.z,MainControllerEulerAngles.x,MainControllerEulerAngles.y,MainControllerEulerAngles.z
5.231111,1,Training,1,1,Flat,5,prepare,-0.4976992,1.744702,0.07652474,345.2517,348.5361,21.53275,-0.2498984,0.8541992,0.2024598,43.21612,320.8498,24.47996
5.242222,1,Training,1,1,Flat,5,prepare,-0.4940761,1.744958,0.07868956,345.2615,348.0053,21.53236,-0.2510843,0.8564808,0.2072113,42.25184,320.3484,24.54322
5.253334,1,Training,1,1,Flat,5,prepare,-0.4932097,1.744953,0.07911253,345.2955,347.9315,21.51225,-0.2524803,0.8587176,0.2116673,41.36905,319.8704,24.5292
5.264444,1,Training,1,1,Flat,5,prepare,-0.4923286,1.744928,0.07953984,345.3688,347.8812,21.47679,-0.2534471,0.8606802,0.2160952,40.6727,319.4572,24.48657
5.275556,1,Training,1,1,Flat,5,prepare,-0.4913783,1.744843,0.0799153,345.4372,347.7905,21.457,-0.2545173,0.8625083,0.2203407,40.13276,319.1445,24.27548
5.275556,1,Training,1,1,Flat,5,prepare,-0.4903777,1.744754,0.0802456,345.5364,347.7547,21.45027,-0.2555625,0.8643795,0.2246187,39.61985,318.9092,23.95077
5.286667,1,Training,1,1,Flat,5,prepare,-0.4894124,1.744583,0.08052685,345.5966,347.6939,21.45214,-0.2566745,0.8665584,0.2286482,39.06161,318.6936,23.64578
5.297778,1,Training,1,1,Flat,5,prepare,-0.4884709,1.744528,0.08073807,345.6404,347.6562,21.47257,-0.2578659,0.8678954,0.232661,38.61322,318.5173,23.48692
5.308889,1,Training,1,1,Flat,5,prepare,-0.4875093,1.744547,0.08098951,345.6591,347.6183,21.46228,-0.2589774,0.8698804,0.236618,38.19504,318.439,23.40211
5.32,1,Training,1,1,Flat,5,prepare,-0.4865776,1.744578,0.08116214,345.6777,347.636,21.43354,-0.2599502,0.8705513,0.2406352,38.15024,318.4859,23.56099
5.331111,1,Training,1,1,Flat,5,prepare,-0.4855615,1.744558,0.08128412,345.6679,347.6667,21.40068,-0.2611396,0.8716911,0.2439885,38.15986,318.4203,24.49753
5.342222,1,Training,1,1,Flat,5,prepare,-0.4845722,1.744639,0.08142422,345.6544,347.7459,21.38043,-0.2618473,0.8726628,0.2473996,37.79802,318.3333,25.28946
5.353333,1,Training,1,1,Flat,5,prepare,-0.4835869,1.744735,0.08156937,345.636,347.8397,21.35868,-0.2628732,0.8739955,0.2507772,37.39977,318.419,26.37471
5.364445,1,Training,1,1,Flat,5,prepare,-0.4825355,1.744815,0.08169463,345.6176,347.9496,21.3331,-0.2633986,0.8745394,0.2540488,37.16118,318.7187,27.16708
5.375556,1,Training,1,1,Flat,5,prepare,-0.4814292,1.744924,0.08186793,345.5772,348.0487,21.3121,-0.2643759,0.8760412,0.257242,36.93969,319.0135,27.31404
5.386667,1,Training,1,1,Flat,5,prepare,-0.4803293,1.74499,0.08204031,345.5517,348.1529,21.31056,-0.2655773,0.8779373,0.2601314,36.45159,319.1031,27.1328
5.397778,1,Training,1,1,Flat,5,prepare,-0.4792483,1.745101,0.08216843,345.5373,348.2701,21.30523,-0.2669039,0.8796914,0.263041,35.86962,319.0961,27.07386
5.408889,1,Training,1,1,Flat,5,prepare,-0.4781425,1.745219,0.08227042,345.5304,348.382,21.28264,-0.2686129,0.8818897,0.2656052,35.0738,318.9843,26.89726
5.42,1,Training,1,1,Flat,5,prepare,-0.4770356,1.745285,0.08240787,345.525,348.4851,21.23689,-0.2703266,0.8840603,0.2677934,34.25283,318.8741,26.73187
5.431111,1,Training,1,1,Flat,5,prepare,-0.4758704,1.745345,0.08250253,345.5374,348.5922,21.21076,-0.2718787,0.8862313,0.2699225,33.46505,318.8639,26.51768
