TimeSinceStart,UserHeight,TrialNo,TrialID,ParticipantID,ExperimentSequence,Layout,Difficulty,TrialState,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,MainControllerPosition.x,MainControllerPosition.y,MainControllerPosition.z,MainControllerEulerAngles.x,MainControllerEulerAngles.y,MainControllerEulerAngles.z,MainPadPressed,MainTriggerPressed
50.19778,0.9073585,1,Training,1,1,Flat,2,prepare,-0.05575852,1.656484,0.117468,32.68851,306.2336,357.2621,0.1486214,0.8246896,0.2416871,44.55114,315.2406,5.153068,False,False
50.20889,0.9073585,1,Training,1,1,Flat,2,prepare,-0.05287517,1.655853,0.1194767,32.87851,305.7904,357.4227,0.1484371,0.8244557,0.2417183,44.70802,314.7271,4.964417,False,False
50.22,0.9073585,1,Training,1,1,Flat,2,prepare,-0.05230458,1.655734,0.1198331,32.97506,305.6286,357.447,0.1481559,0.8240983,0.2416375,44.8704,314.2557,4.833779,False,False
50.23111,0.9073585,1,Training,1,1,Flat,2,prepare,-0.05124468,1.655487,0.1205838,33.17467,305.2773,357.5379,0.1476547,0.8232026,0.2413087,45.34448,313.3539,4.624148,False,False
50.24222,0.9073585,1,Training,1,1,Flat,2,prepare,-0.05081552,1.655323,0.1209687,33.27492,305.0793,357.5884,0.1472529,0.8226731,0.2410493,45.55085,312.9048,4.527338,False,False
50.25333,0.9073585,1,Training,1,1,Flat,2,prepare,-0.05042968,1.655206,0.1213014,33.35576,304.8858,357.65,0.1468517,0.8222063,0.2405524,45.73222,312.437,4.512326,False,False
50.26445,0.9073585,1,Training,1,1,Flat,2,prepare,-0.0500732,1.655136,0.1216302,33.44008,304.6879,357.724,0.1461802,0.8219055,0.24015,45.88371,311.9596,4.512388,False,False
50.27556,0.9073585,1,Training,1,1,Flat,2,prepare,-0.04977308,1.655085,0.1219783,33.50077,304.4849,357.782,0.1456462,0.8214463,0.2397397,46.04099,311.4756,4.459302,False,False
50.28667,0.9073585,1,Training,1,1,Flat,2,prepare,-0.04950844,1.65509,0.1223059,33.561,304.2737,357.8562,0.1449643,0.820786,0.2394147,46.18051,310.9693,4.335992,False,False
50.29778,0.9073585,1,Training,1,1,Flat,2,prepare,-0.04926886,1.65508,0.1225853,33.60585,304.088,357.9191,0.144189,0.8203574,0.2387919,46.31197,310.4952,4.281961,False,False
50.30889,0.9073585,1,Training,1,1,Flat,2,prepare,-0.04903626,1.655087,0.1229315,33.65345,303.9128,357.9942,0.1435611,0.8199084,0.2383242,46.44452,310.0724,4.317408,False,False
50.32,0.9073585,1,Training,1,1,Flat,2,prepare,-0.0487669,1.655046,0.1232453,33.6685,303.744,358.056,0.1428182,0.8192888,0.2378192,46.59956,309.6599,4.34798,False,False
50.33111,0.9073585,1,Training,1,1,Flat,2,prepare,-0.04864688,1.655064,0.1235795,33.67571,303.5791,358.1401,0.1420014,0.8186442,0.2373314,46.75154,309.2663,4.401927,False,False
50.34222,0.9073585,1,Training,1,1,Flat,2,prepare,-0.04855477,1.655054,0.1239602,33.67661,303.4039,358.2089,0.1412932,0.8180369,0.2367964,46.89094,308.8553,4.451107,False,False
50.35334,0.9073585,1,Training,1,1,Flat,2,prepare,-0.04850737,1.655127,0.124339,33.66059,303.2244,358.2837,0.1404001,0.8173842,0.2362416,47.02757,308.4902,4.54725,False,False
50.36444,0.9073585,1,Training,1,1,Flat,2,prepare,-0.04849128,1.655102,0.1247262,33.62682,303.0175,358.3116,0.1395656,0.8167261,0.2356133,47.17532,308.1341,4.575284,False,False
50.37556,0.9073585,1,Training,1,1,Flat,2,prepare,-0.04848455,1.655148,0.1250919,33.59997,302.8031,358.3217,0.1389464,0.816155,0.2350171,47.33634,307.7728,4.494301,False,False
50.38667,0.9073585,1,Training,1,1,Flat,2,prepare,-0.04855206,1.655161,0.1254127,33.57723,302.5912,358.3263,0.1381835,0.815491,0.2343769,47.50936,307.4008,4.364671,False,False
50.39778,0.9073585,1,Training,1,1,Flat,2,prepare,-0.04862754,1.655158,0.1257735,33.56523,302.3566,358.2786,0.1373554,0.8150135,0.2337797,47.6737,307.0074,4.240482,False,False
50.40889,0.9073585,1,Training,1,1,Flat,2,prepare,-0.04876951,1.655162,0.1260586,33.56291,302.1326,358.2175,0.136479,0.8143736,0.2329874,47.84198,306.578,4.147066,False,False
50.42,0.9073585,1,Training,1,1,Flat,2,prepare,-0.04883675,1.655123,0.1263665,33.56805,301.9201,358.1783,0.1356922,0.8137306,0.2321775,48.0344,306.0395,3.953488,False,False
50.43111,0.9073585,1,Training,1,1,Flat,2,prepare,-0.04888573,1.655133,0.1266757,33.59294,301.713,358.1565,0.1347514,0.8130909,0.231252,48.21329,305.5006,3.798113,False,False
50.44222,0.9073585,1,Training,1,1,Flat,2,prepare,-0.04896862,1.655129,0.1269851,33.63329,301.5049,358.1371,0.1338181,0.8123913,0.2305374,48.4059,304.8764,3.605866,False,False
50.45333,0.9073585,1,Training,1,1,Flat,2,prepare,-0.04901033,1.655196,0.1272964,33.64672,301.3264,358.149,0.1328158,0.8118075,0.2296569,48.59034,304.2449,3.408125,False,False
50.46445,0.9073585,1,Training,1,1,Flat,2,prepare,-0.04908012,1.655276,0.1276038,33.67464,301.1454,358.1588,0.1318988,0.8113309,0.2286201,48.74553,303.5931,3.19651,False,False
50.47556,0.9073585,1,Training,1,1,Flat,2,prepare,-0.04919052,1.655422,0.1279191,33.64474,300.9643,358.1553,0.1310861,0.8107342,0.22791,48.91101,302.9594,3.004588,False,False
50.48667,0.9073585,1,Training,1,1,Flat,2,prepare,-0.0493553,1.655545,0.1282697,33.60266,300.8026,358.1656,0.1301354,0.8102564,0.2270844,49.06789,302.309,2.829095,False,False
50.49778,0.9073585,1,Training,1,1,Flat,2,prepare,-0.04953525,1.655663,0.128628,33.53778,300.6328,358.1392,0.1290163,0.8098809,0.2261276,49.21878,301.662,2.703025,False,False
50.50889,0.9073585,1,Training,1,1,Flat,2,prepare,-0.04981872,1.655778,0.128966,33.46655,300.4999,358.1364,0.1279343,0.8096277,0.2253971,49.35541,301.0358,2.533926,False,False
50.52,0.9073585,1,Training,1,1,Flat,2,prepare,-0.05006187,1.655882,0.1293535,33.40572,300.3579,358.1102,0.1269026,0.8093921,0.2248421,49.4933,300.4585,2.38301,False,False
50.53111,0.9073585,1,Training,1,1,Flat,2,prepare,-0.05033644,1.655971,0.1297012,33.36148,300.2394,358.1019,0.1258377,0.8091267,0.2243836,49.61853,299.9254,2.266564,False,False
50.54222,0.9073585,1,Training,1,1,Flat,2,prepare,-0.05052688,1.655977,0.1301028,33.33742,300.0936,358.0671,0.1247698,0.8089859,0.2240689,49.66446,299.4638,2.229516,False,False
50.55333,0.9073585,1,Training,1,1,Flat,2,prepare,-0.05079285,1.656036,0.130431,33.32013,299.9632,358.0543,0.1235403,0.8089019,0.2239177,49.67842,299.0717,2.242027,False,False
50.56445,0.9073585,1,Training,1,1,Flat,2,prepare,-0.05102637,1.656058,0.1307907,33.30201,299.8209,358.0109,0.122154,0.8089626,0.223999,49.70681,298.7258,2.196348,False,False
50.57556,0.9073585,1,Training,1,1,Flat,2,prepare,-0.05134315,1.656171,0.1311429,33.25853,299.7011,357.9648,0.1208173,0.8088613,0.2240238,49.72843,298.3886,2.093767,False,False
50.58667,0.9073585,1,Training,1,1,Flat,2,prepare,-0.05167707,1.656357,0.1315533,33.18069,299.6005,357.9223,0.1190974,0.8090919,0.2246895,49.62398,298.2423,2.013461,False,False
50.59778,0.9073585,1,Training,1,1,Flat,2,prepare,-0.05203035,1.65656,0.1319569,33.08878,299.514,357.8725,0.1168946,0.8098409,0.2255533,49.37952,298.1425,2.027457,False,False
50.60889,0.9073585,1,Training,1,1,Flat,2,prepare,-0.05245791,1.656855,0.1323985,32.93802,299.4958,357.8434,0.1146526,0.8106407,0.2267776,48.99372,298.0985,2.092793,False,False
50.63111,0.9073585,1,Training,1,1,Flat,2,prepare,-0.0528564,1.657184,0.1328628,32.77586,299.5035,357.8295,0.1123785,0.811532,0.2277176,48.60622,298.0063,2.100406,False,False
50.63111,0.9073585,1,Training,1,1,Flat,2,prepare,-0.05329026,1.657671,0.1333717,32.51961,299.5973,357.8545,0.1097348,0.8127023,0.2293892,48.05031,298.0564,2.084938,False,False
50.64222,0.9073585,1,Training,1,1,Flat,2,prepare,-0.05374762,1.658284,0.1338983,32.24155,299.7355,357.9084,0.1071222,0.8139424,0.2310042,47.48781,298.148,1.999138,False,False
50.65334,0.9073585,1,Training,1,1,Flat,2,prepare,-0.05420396,1.658964,0.1344877,31.91135,299.9289,357.9972,0.1044241,0.815156,0.2327042,46.97279,298.2525,1.953509,False,False
50.66444,0.9073585,1,Training,1,1,Flat,2,prepare,-0.05461419,1.659796,0.1352194,31.47999,300.2162,358.1169,0.1014347,0.8166634,0.2347291,46.41167,298.498,1.997017,False,False
50.67556,0.9073585,1,Training,1,1,Flat,2,prepare,-0.05505756,1.660727,0.1359726,30.9993,300.6006,358.2689,0.0983789,0.8181715,0.2368481,45.87574,298.7863,2.180164,False,False
50.68667,0.9073585,1,Training,1,1,Flat,2,prepare,-0.0555075,1.661737,0.136787,30.45984,301.067,358.4296,0.09511006,0.8197243,0.2389772,45.38515,299.0845,2.4072,False,False
