TimeSinceStart,TrialNo,TrialID,ParticipantID,Layout,Info,CardSeen,CardSelected,CardAnswered,CardPlayed
157.52,1,Training,11,Flat,Prepare,,,
160.1756,1,Training,11,Flat,ShowPattern,,,
160.1978,1,Training,11,Flat,Card,5,,,
160.9756,1,Training,11,Flat,Card,30,,,
161.2645,1,Training,11,Flat,Card,26,,,
161.3978,1,Training,11,Flat,Card,1,,,
162.3756,1,Training,11,Flat,Card,23,,,
165.7089,1,Training,11,Flat,Card,,1,,
166.6422,1,Training,11,Flat,Card,,26,,
170.2089,1,Training,11,Flat,Card,,5,,
171.0311,1,Training,11,Flat,Card,,30,,
172.9422,1,Training,11,Flat,Card,,23,,
175.1311,1,Training,11,Flat,Distractor,,,
175.4311,1,Training,11,Flat,Task: 6,,,
175.6089,1,Training,11,Flat,CardGame,,,,8
175.6089,1,Training,11,Flat,Task: 8,,,
179.6089,1,Training,11,Flat,Task: 3,,,
181.4756,1,Training,11,Flat,CardGame,,,,8
181.4756,1,Training,11,Flat,Task: 7,,,
184.4756,1,Training,11,Flat,CardGame,,,,7
184.4756,1,Training,11,Flat,Task: 5,,,
186.1867,1,Training,11,Flat,CardGame,,,,5
186.1867,1,Training,11,Flat,Task: 3,,,
187.6311,1,Training,11,Flat,CardGame,,,,3
187.6311,1,Training,11,Flat,Task: 4,,,
189.0645,1,Training,11,Flat,CardGame,,,,4
189.0645,1,Training,11,Flat,Task: 2,,,
190.8867,1,Training,11,Flat,CardGame,,,,2
190.8867,1,Training,11,Flat,Task: 6,,,
192.3978,1,Training,11,Flat,CardGame,,,,6
192.3978,1,Training,11,Flat,Task: 8,,,
193.8311,1,Training,11,Flat,CardGame,,,,8
193.8311,1,Training,11,Flat,Task: 3,,,
195.2756,1,Training,11,Flat,CardGame,,,,3
195.2756,1,Training,11,Flat,Task: 8,,,
197.32,1,Training,11,Flat,CardGame,,,,8
197.32,1,Training,11,Flat,Task: 7,,,
198.6867,1,Training,11,Flat,CardGame,,,,7
198.6867,1,Training,11,Flat,Task: 5,,,
200.2978,1,Training,11,Flat,CardGame,,,,5
200.2978,1,Training,11,Flat,Task: 7,,,
202.3756,1,Training,11,Flat,SelectedCards,,,
205.8756,1,Training,11,Flat,Card,,,1,
206.5867,1,Training,11,Flat,Card,,,26,
208.8533,1,Training,11,Flat,Card,,,5,
209.6422,1,Training,11,Flat,Card,,,30,
211.8756,1,Training,11,Flat,Card,,,23,
215.0645,1,Training,11,Flat,Result,,,
234.62,2,Training,11,Full Circle,Prepare,,,
236.0533,2,Training,11,Full Circle,ShowPattern,,,
236.0756,2,Training,11,Full Circle,Card,15,,,
236.9644,2,Training,11,Full Circle,Card,35,,,
237.2756,2,Training,11,Full Circle,Card,25,,,
238.0089,2,Training,11,Full Circle,Card,6,,,
242.5089,2,Training,11,Full Circle,Card,,15,,
246.0867,2,Training,11,Full Circle,Card,,6,,
248.1644,2,Training,11,Full Circle,Card,10,,,
250.4422,2,Training,11,Full Circle,Card,,10,,
251.6756,2,Training,11,Full Circle,Card,,35,,
252.5645,2,Training,11,Full Circle,Card,,25,,
252.5645,2,Training,11,Full Circle,Distractor,,,
252.5645,2,Training,11,Full Circle,Task: 1,,,
252.5756,2,Training,11,Full Circle,CardGame,,,,6
252.5756,2,Training,11,Full Circle,Task: 7,,,
255.6533,2,Training,11,Full Circle,CardGame,,,,7
255.6533,2,Training,11,Full Circle,Task: 4,,,
257.4422,2,Training,11,Full Circle,CardGame,,,,4
257.4422,2,Training,11,Full Circle,Task: 1,,,
259.9089,2,Training,11,Full Circle,CardGame,,,,1
259.9089,2,Training,11,Full Circle,Task: 8,,,
261.9089,2,Training,11,Full Circle,CardGame,,,,8
261.9089,2,Training,11,Full Circle,Task: 8,,,
263.3311,2,Training,11,Full Circle,CardGame,,,,8
263.3311,2,Training,11,Full Circle,Task: 7,,,
264.6534,2,Training,11,Full Circle,CardGame,,,,7
264.6534,2,Training,11,Full Circle,Task: 1,,,
266.6089,2,Training,11,Full Circle,CardGame,,,,1
266.6089,2,Training,11,Full Circle,Task: 7,,,
267.7978,2,Training,11,Full Circle,CardGame,,,,7
267.7978,2,Training,11,Full Circle,Task: 1,,,
269.6978,2,Training,11,Full Circle,CardGame,,,,1
269.6978,2,Training,11,Full Circle,Task: 4,,,
271.5089,2,Training,11,Full Circle,SelectedCards,,,
274.02,2,Training,11,Full Circle,Card,,,15,
276.1645,2,Training,11,Full Circle,Card,,,6,
283.3089,2,Training,11,Full Circle,Card,,,9,
