ParticipantID,TrialNo,TrialID,Layout,Difficulty,AnswerAccuracy,ShootAccuracy,Card1SeenTime,Card2SeenTime,Card3SeenTime,Card4SeenTime,Card5SeenTime,Card1SelectTime,Card2SelectTime,Card3SelectTime,Card4SelectTime,Card5SelectTime
1,3,1,Flat,5,5,0,0.02056375,1.043617,3.376747,7.563129,7.574222,2.632453,3.954063,6.764203,10.83978,11.69521
1,4,2,Flat,5,5,1,0.02163619,0.7547898,0.9437185,1.777171,2.286937,4.309604,5.39789,8.118765,11.61717,12.70562
1,5,3,Flat,5,4,1,0.02039821,0.02039821,1.477299,1.621721,7.985432,3.798562,5.71976,6.730346,10.52864,12.37107
1,6,4,Flat,5,5,1,0.03322581,2.874522,3.018913,7.906592,7.917808,2.332547,5.640993,6.839355,11.45057,12.4168
1,7,5,Flat,5,3,2,0.6768906,1.821246,1.954549,6.540053,6.573525,3.098633,4.564502,5.630793,9.417693,10.37024
1,8,6,Flat,5,2,1,0.5184161,2.119833,2.242011,6.385649,6.397125,2.910161,4.542574,5.419789,9.473538,10.26208
1,9,7,Flat,5,0,2,0.02190662,1.687557,2.832358,3.042694,8.985044,2.465693,5.297805,7.863276,11.23939,12.49439
1,10,8,Flat,5,3,3,0.02186813,2.784515,3.039438,7.238134,7.26038,2.129649,5.65906,6.516387,10.32553,11.05845
1,13,9,Full Circle,5,3,1,1.298314,1.977683,7.408455,8.208247,9.907667,3.27681,4.110053,9.208029,10.1743,11.1037
1,14,10,Full Circle,5,2,0,0.02134779,0.4171655,5.675274,10.28481,12.54979,2.187876,3.887796,8.440742,12.08386,12.89441
1,15,11,Full Circle,5,3,0,0.02177157,1.27607,5.908835,9.851475,11.56293,2.63239,3.631926,6.619501,11.29522,12.55022
1,16,12,Full Circle,5,2,1,0.02011847,1.610681,5.037533,7.841475,13.28408,3.35467,4.287516,6.264902,8.840754,14.16052
1,17,13,Full Circle,5,4,0,0.02183156,1.275221,3.209203,8.750994,26.6765,2.487575,4.342269,6.152608,8.984981,9.673233
1,18,14,Full Circle,5,0,0,0.6801181,3.153756,7.020758,9.839511,10.87459,2.222835,4.710551,7.965473,11.37448,12.36304
1,19,15,Full Circle,5,5,1,0.02035779,0.02035779,1.200134,8.18606,10.08519,2.377904,3.088466,3.875395,9.697068,10.31867
1,20,16,Full Circle,5,5,1,0.02216198,0.02216198,0.9999526,4.387813,4.631843,2.366436,3.143681,3.954243,5.577577,6.364648
