ParticipantID,TrialNo,TrialID,Layout,Difficulty,AnswerAccuracy,ShootAccuracy,Card1SeenTime,Card2SeenTime,Card3SeenTime,Card4SeenTime,Card5SeenTime,Card1SelectTime,Card2SelectTime,Card3SelectTime,Card4SelectTime,Card5SelectTime
4,3,1,Full Circle,5,5,1,0.02122267,2.699357,5.308823,8.695561,9.917521,2.22383,4.175987,7.363405,12.84985,14.58265
4,4,2,Full Circle,5,5,0,0.02103436,2.708988,4.175235,5.686156,7.485337,2.177138,3.731807,5.385649,6.585329,8.51819
4,5,3,Full Circle,5,5,1,0.6089567,3.520589,5.163499,7.474349,8.085407,2.587653,4.509343,6.219417,9.751123,10.82834
4,6,4,Full Circle,5,5,3,0.02239424,3.921315,7.174871,8.829532,11.05098,2.76514,6.241737,8.363086,9.740325,12.19586
4,7,5,Full Circle,5,4,1,0.2060478,0.5410658,5.852834,7.496584,8.296076,1.821321,3.343034,7.007843,10.1846,10.93952
4,8,6,Full Circle,5,5,3,0.02129325,0.3394498,7.785471,9.917145,10.59535,4.387,5.130732,8.907256,11.7281,12.60561
4,9,7,Full Circle,5,5,2,0.02113125,2.654371,5.153228,6.830386,9.273539,1.919676,4.287014,6.219455,7.95207,11.20621
4,10,8,Full Circle,5,5,2,0.02060994,2.742803,4.675751,6.541546,8.673454,1.48837,3.532745,5.853248,9.651316,10.40652
4,13,9,Flat,5,5,1,0.02125123,0.5407748,0.6096941,8.054383,11.16195,2.987866,3.87641,9.895776,10.68329,12.83899
4,14,10,Flat,5,3,4,0.02103853,0.02103853,0.6439233,0.7220085,9.395887,3.06544,4.298632,6.41897,9.585489,11.83923
4,15,11,Flat,5,5,2,0.01957054,0.8444414,1.033195,5.942051,7.874083,3.96509,5.098176,7.785185,9.440115,11.12854
4,16,12,Flat,5,5,2,0.02131346,0.7220204,0.7667146,7.563579,7.707661,3.176827,3.987611,7.2191,10.38357,11.29534
4,17,13,Flat,5,5,2,0.02108601,0.8326329,0.9554582,5.941851,6.052983,3.831868,4.687238,8.27411,10.18451,10.97288
4,18,14,Flat,5,5,2,0.7329303,0.7662386,6.452989,6.808135,6.819386,3.420592,4.398181,8.340965,9.962496,10.74276
4,19,15,Flat,5,5,1,0.5642725,0.6306443,0.7655702,5.276056,7.086051,3.209673,4.798071,5.740729,7.419116,9.272905
4,20,16,Flat,5,5,3,0.02125764,0.6865948,0.7424192,6.386147,6.519411,3.554196,4.331204,7.040917,9.451562,10.37322
