TimeSinceStart,TrialNo,TrialID,ParticipantID,Layout,Info,CardSeen,CardSelected,CardAnswered
219.42,1,Training,4,Full Circle,Prepare,,,
224.0533,1,Training,4,Full Circle,ShowPattern,,,
225.4422,1,Training,4,Full Circle,Card,12,,
227.62,1,Training,4,Full Circle,Card,,12,
228.92,1,Training,4,Full Circle,Card,5,,
230.3311,1,Training,4,Full Circle,Card,,5,
232.0089,1,Training,4,Full Circle,Card,30,,
232.9089,1,Training,4,Full Circle,Card,,30,
233.82,1,Training,4,Full Circle,Card,9,,
234.5422,1,Training,4,Full Circle,Card,,9,
235.4644,1,Training,4,Full Circle,Card,34,,
236.6089,1,Training,4,Full Circle,Card,,34,
239.0089,1,Training,4,Full Circle,Distractor,,,
250.1422,1,Training,4,Full Circle,Bingo,,,
253.9644,1,Training,4,Full Circle,SelectedCards,,,
257.3533,1,Training,4,Full Circle,Card,,,12
259.7533,1,Training,4,Full Circle,Card,,,4
261.0756,1,Training,4,Full Circle,Card,,,29
263.0422,1,Training,4,Full Circle,Card,,,8
263.8867,1,Training,4,Full Circle,Card,,,22
268.7089,1,Training,4,Full Circle,Result,,,
275.9533,1,Training,4,Full Circle,Prepare,,,
277.4311,1,Training,4,Full Circle,ShowPattern,,,
278.9311,1,Training,4,Full Circle,Card,25,,
279.3533,1,Training,4,Full Circle,Card,11,,
281.1089,1,Training,4,Full Circle,Card,,11,
283.3644,1,Training,4,Full Circle,Card,,25,
285.6089,1,Training,4,Full Circle,Card,30,,
286.8978,1,Training,4,Full Circle,Card,,30,
287.1534,1,Training,4,Full Circle,Card,7,,
288.3867,1,Training,4,Full Circle,Card,,7,
289.0533,1,Training,4,Full Circle,Card,21,,
289.8422,1,Training,4,Full Circle,Card,,21,
292.3867,1,Training,4,Full Circle,Distractor,,,
300.12,1,Training,4,Full Circle,Bingo,,,
303.52,1,Training,4,Full Circle,Bingo,,,
306.3089,1,Training,4,Full Circle,Bingo,,,
307.3422,1,Training,4,Full Circle,SelectedCards,,,
309.4533,1,Training,4,Full Circle,Card,,,11
310.8978,1,Training,4,Full Circle,Card,,,25
316.7311,1,Training,4,Full Circle,Card,,,5
317.6645,1,Training,4,Full Circle,Card,,,8
319.2756,1,Training,4,Full Circle,Card,,,34
322.0645,1,Training,4,Full Circle,Result,,,
327.8644,1,Training,4,Full Circle,Prepare,,,
332.0533,1,Training,4,Full Circle,ShowPattern,,,
332.9644,1,Training,4,Full Circle,Card,1,,
333.5311,1,Training,4,Full Circle,Card,24,,
336.4756,1,Training,4,Full Circle,Card,,1,
337.6089,1,Training,4,Full Circle,Card,,24,
343.3978,1,Training,4,Full Circle,Card,28,,
344.2978,1,Training,4,Full Circle,Card,,28,
345.1422,1,Training,4,Full Circle,Card,7,,
345.7089,1,Training,4,Full Circle,Card,,7,
346.4756,1,Training,4,Full Circle,Card,22,,
346.92,1,Training,4,Full Circle,Card,,22,
347.0089,1,Training,4,Full Circle,Distractor,,,
361.9533,1,Training,4,Full Circle,SelectedCards,,,
379.2756,1,Training,4,Full Circle,Card,,,18
380.4422,1,Training,4,Full Circle,Card,,,6
380.8867,1,Training,4,Full Circle,Card,,,7
381.2645,1,Training,4,Full Circle,Card,,,19
381.7978,1,Training,4,Full Circle,Card,,,31
382.8311,1,Training,4,Full Circle,Result,,,
388.1867,1,Training,4,Full Circle,Prepare,,,
392.92,1,Training,4,Full Circle,ShowPattern,,,
393.7978,1,Training,4,Full Circle,Card,16,,
395.5756,1,Training,4,Full Circle,Card,,16,
396.3644,1,Training,4,Full Circle,Card,13,,
397.5645,1,Training,4,Full Circle,Card,,13,
399.0311,1,Training,4,Full Circle,Card,11,,
400.0089,1,Training,4,Full Circle,Card,34,,
400.0867,1,Training,4,Full Circle,Card,,11,
401.02,1,Training,4,Full Circle,Card,,34,
401.6645,1,Training,4,Full Circle,Card,6,,
403.3422,1,Training,4,Full Circle,Card,,6,
407.8867,1,Training,4,Full Circle,Distractor,,,
422.8311,1,Training,4,Full Circle,SelectedCards,,,
425.0867,1,Training,4,Full Circle,Card,,,16
427.1978,1,Training,4,Full Circle,Card,,,25
432.3311,1,Training,4,Full Circle,Card,,,22
435.3089,1,Training,4,Full Circle,Card,,,31
435.9422,1,Training,4,Full Circle,Card,,,18
437.5311,1,Training,4,Full Circle,Result,,,
443.4978,1,Training,4,Full Circle,Prepare,,,
446.5645,1,Training,4,Full Circle,ShowPattern,,,
447.4311,1,Training,4,Full Circle,Card,26,,
448.3422,1,Training,4,Full Circle,Card,17,,
449.6534,1,Training,4,Full Circle,Card,,17,
451.5089,1,Training,4,Full Circle,Card,,26,
456.1867,1,Training,4,Full Circle,Card,32,,
457.1756,1,Training,4,Full Circle,Card,22,,
458.6867,1,Training,4,Full Circle,Card,,22,
459.7311,1,Training,4,Full Circle,Card,,32,
461.3533,1,Training,4,Full Circle,Card,1,,
462.52,1,Training,4,Full Circle,Card,,1,
