TimeSinceStart,TrialNo,TrialID,ParticipantID,Layout,Info,CardSeen,CardSelected,CardAnswered
8.975555,1,Training,3,Flat,Prepare,,,
9.753334,1,Training,3,Flat,ShowPattern,,,
9.775556,1,Training,3,Flat,Card,5,,
9.775556,1,Training,3,Flat,Card,30,,
10.60889,1,Training,3,Flat,Card,1,,
10.60889,1,Training,3,Flat,Card,26,,
12.26444,1,Training,3,Flat,Card,,1,
12.70889,1,Training,3,Flat,Card,,26,
13.88667,1,Training,3,Flat,Card,,5,
14.35333,1,Training,3,Flat,Card,23,,
14.39778,1,Training,3,Flat,Card,,30,
16.53111,1,Training,3,Flat,Card,,23,
24.70889,1,Training,3,Flat,Distractor,,,
27.59778,1,Training,3,Flat,Bingo,,,
30.58667,1,Training,3,Flat,Bingo,,,
35.00889,1,Training,3,Flat,Bingo,,,
37.54222,1,Training,3,Flat,Bingo,,,
39.65334,1,Training,3,Flat,SelectedCards,,,
41.54222,1,Training,3,Flat,Card,,,1
42.07556,1,Training,3,Flat,Card,,,26
43.64222,1,Training,3,Flat,Card,,,5
44.25333,1,Training,3,Flat,Card,,,30
46.10889,1,Training,3,Flat,Card,,,23
47.59778,1,Training,3,Flat,Result,,,
48.23111,2,Training,3,Flat,Prepare,,,
49.37556,2,Training,3,Flat,ShowPattern,,,
49.39778,2,Training,3,Flat,Card,4,,
49.82,2,Training,3,Flat,Card,14,,
49.90889,2,Training,3,Flat,Card,24,,
52.19778,2,Training,3,Flat,Card,,24,
52.85334,2,Training,3,Flat,Card,,14,
53.34222,2,Training,3,Flat,Card,7,,
53.60889,2,Training,3,Flat,Card,21,,
53.96445,2,Training,3,Flat,Card,,4,
55.28667,2,Training,3,Flat,Card,,7,
56.14222,2,Training,3,Flat,Card,,21,
64.34222,2,Training,3,Flat,Distractor,,,
71.65334,2,Training,3,Flat,Bingo,,,
79.27556,2,Training,3,Flat,SelectedCards,,,
82.40889,2,Training,3,Flat,Card,,,24
83.47556,2,Training,3,Flat,Card,,,14
84.42001,2,Training,3,Flat,Card,,,4
86.12,2,Training,3,Flat,Card,,,8
87.65334,2,Training,3,Flat,Card,,,22
88.63111,2,Training,3,Flat,Result,,,
89.52,3,1,3,Flat,Prepare,,,
90.80889,3,1,3,Flat,ShowPattern,,,
91.43111,3,1,3,Flat,Card,20,,
91.60889,3,1,3,Flat,Card,11,,
92.27556,3,1,3,Flat,Card,30,,
93.00889,3,1,3,Flat,Card,,30,
93.60889,3,1,3,Flat,Card,,20,
95.17556,3,1,3,Flat,Card,,11,
98.13111,3,1,3,Flat,Card,25,,
98.13111,3,1,3,Flat,Card,2,,
100.5089,3,1,3,Flat,Card,,2,
101.1311,3,1,3,Flat,Card,,25,
105.7645,3,1,3,Flat,Distractor,,,
108.1089,3,1,3,Flat,Bingo,,,
115.9644,3,1,3,Flat,Bingo,,,
120.72,3,1,3,Flat,SelectedCards,,,
123.3644,3,1,3,Flat,Card,,,25
124.0422,3,1,3,Flat,Card,,,2
127.8422,3,1,3,Flat,Card,,,30
129.6756,3,1,3,Flat,Card,,,20
130.8867,3,1,3,Flat,Card,,,11
132.8089,3,1,3,Flat,Result,,,
133.42,4,2,3,Flat,Prepare,,,
134.3533,4,2,3,Flat,ShowPattern,,,
134.6533,4,2,3,Flat,Card,17,,
135.2978,4,2,3,Flat,Card,27,,
135.4089,4,2,3,Flat,Card,25,,
137.2089,4,2,3,Flat,Card,,25,
137.8089,4,2,3,Flat,Card,,27,
138.3644,4,2,3,Flat,Card,7,,
138.5089,4,2,3,Flat,Card,11,,
139.42,4,2,3,Flat,Card,,17,
140.2311,4,2,3,Flat,Card,,7,
141.9978,4,2,3,Flat,Card,,11,
149.3089,4,2,3,Flat,Distractor,,,
164.2645,4,2,3,Flat,SelectedCards,,,
166.72,4,2,3,Flat,Card,,,25
167.4978,4,2,3,Flat,Card,,,27
169.2756,4,2,3,Flat,Card,,,17
171.7978,4,2,3,Flat,Card,,,8
174.8645,4,2,3,Flat,Card,,,11
175.7422,4,2,3,Flat,Result,,,
176.3645,5,3,3,Flat,Prepare,,,
178.5645,5,3,3,Flat,ShowPattern,,,
178.5867,5,3,3,Flat,Card,29,,
179.2978,5,3,3,Flat,Card,14,,
179.3756,5,3,3,Flat,Card,0,,
181.9089,5,3,3,Flat,Card,,0,
182.4867,5,3,3,Flat,Card,,14,
183.6644,5,3,3,Flat,Card,31,,
184.42,5,3,3,Flat,Card,,29,
184.6644,5,3,3,Flat,Card,22,,
185.4644,5,3,3,Flat,Card,,31,
186.8311,5,3,3,Flat,Card,,22,
193.52,5,3,3,Flat,Distractor,,,
199.9422,5,3,3,Flat,Bingo,,,
208.4756,5,3,3,Flat,SelectedCards,,,
211.1978,5,3,3,Flat,Card,,,0
212.3089,5,3,3,Flat,Card,,,14
