ParticipantID,TrialNo,TrialID,Layout,Difficulty,AnswerAccuracy,ShootAccuracy,Card1SeenTime,Card2SeenTime,Card3SeenTime,Card4SeenTime,Card5SeenTime,Card1SelectTime,Card2SelectTime,Card3SelectTime,Card4SelectTime,Card5SelectTime
3,3,1,Flat,5,2,0,0.02312311,1.268456,1.311774,5.798259,6.719573,12.49659,13.56866,16.32698,19.72477,23.99007
3,4,2,Flat,5,5,4,0.02586212,0.9086891,1.097791,3.099216,3.310446,10.40701,11.62901,12.96102,15.47119,16.63779
3,5,3,Flat,5,5,1,0.8202069,0.9319696,9.462794,9.52912,9.596196,6.297483,7.663041,14.66026,15.7598,17.07743
3,6,4,Flat,5,2,4,0.02294859,0.9118429,1.012158,3.164079,3.632781,7.453495,8.95235,10.96292,12.73959,14.99444
3,7,5,Flat,5,4,3,0.531049,0.8103161,0.9093462,4.73253,4.911188,11.48411,13.07248,15.48288,16.89285,19.08104
3,8,6,Flat,5,3,4,0.02057529,1.046016,1.066462,2.766009,2.843324,10.11799,12.36121,16.26024,18.22497,19.53622
3,9,7,Flat,5,5,2,0.6330482,0.900025,0.9671279,3.210004,3.276998,11.06251,12.07286,15.14902,16.67062,17.47018
3,10,8,Flat,5,3,1,0.6890333,0.7900078,2.099638,2.199357,2.222444,6.129196,6.974967,11.15102,12.58172,13.66141
3,13,9,Full Circle,5,0,3,1.666603,4.967012,7.297059,11.93825,14.44966,3.933216,6.309203,8.16402,12.70583,15.51555
3,14,10,Full Circle,5,1,1,0.8553657,2.053519,4.854057,6.953029,8.472717,3.776953,6.553473,7.885992,9.88595,15.15931
3,15,11,Full Circle,5,0,1,0.02255497,3.573493,7.273804,10.63889,10.71659,14.24805,15.29213,16.91356,18.36991,20.4564
3,16,12,Full Circle,5,3,2,0.4843203,4.099238,9.341297,11.36204,13.01682,6.80832,8.594033,10.93996,12.69457,16.0935
3,17,13,Full Circle,5,2,2,0.02103821,1.777401,5.976422,8.474556,10.20779,3.741286,6.842018,9.474293,13.5256,14.62757
3,18,14,Full Circle,5,2,1,0.7297937,3.896528,9.029325,11.40648,14.42708,2.554977,7.172475,9.496058,13.77009,15.69321
3,19,15,Full Circle,5,2,2,0.7875597,0.8102962,5.753301,6.064411,9.218535,4.564924,5.220243,7.730247,8.885288,10.41561
3,20,16,Full Circle,5,3,2,0.02503445,1.199605,5.008224,9.793357,13.71573,2.898558,3.697727,6.717272,10.83916,14.94844
