TimeSinceStart,TrialNo,TrialID,ParticipantID,Layout,Info,CardSeen,CardSelected,CardAnswered
97.58667,1,Training,3,Flat,Prepare,,,
100.8644,1,Training,3,Flat,ShowPattern,,,
100.8867,1,Training,3,Flat,Card,5,,
101.8533,1,Training,3,Flat,Card,30,,
102.4978,1,Training,3,Flat,Card,26,,
102.6089,1,Training,3,Flat,Card,1,,
104.9644,1,Training,3,Flat,Card,23,,
111.1089,1,Training,3,Flat,Card,,1,
113.0089,1,Training,3,Flat,Card,,26,
117.1311,1,Training,3,Flat,Card,,5,
118.8867,1,Training,3,Flat,Card,,30,
122.5089,1,Training,3,Flat,Card,,23,
122.5089,1,Training,3,Flat,Distractor,,,
140.5978,1,Training,3,Flat,SelectedCards,,,
147.32,1,Training,3,Flat,Card,,,1
149.0978,1,Training,3,Flat,Card,,,26
156.3867,1,Training,3,Flat,Card,,,6
158.1089,1,Training,3,Flat,Card,,,31
160.6311,1,Training,3,Flat,Card,,,23
166.2089,1,Training,3,Flat,Result,,,
170.2422,1,Training,3,Flat,Prepare,,,
177.6422,1,Training,3,Flat,ShowPattern,,,
177.72,1,Training,3,Flat,Card,7,,
179.0422,1,Training,3,Flat,Card,21,,
179.1422,1,Training,3,Flat,Card,11,,
181.0756,1,Training,3,Flat,Card,25,,
185.52,1,Training,3,Flat,Card,30,,
193.1422,1,Training,3,Flat,Card,,25,
195.4533,1,Training,3,Flat,Card,,30,
196.3422,1,Training,3,Flat,Card,,7,
197.72,1,Training,3,Flat,Card,,21,
199.1867,1,Training,3,Flat,Card,,11,
199.1867,1,Training,3,Flat,Distractor,,,
211.8533,1,Training,3,Flat,Bingo,,,
217.62,1,Training,3,Flat,SelectedCards,,,
224.7533,1,Training,3,Flat,Card,,,1
227.62,1,Training,3,Flat,Card,,,16
229.1644,1,Training,3,Flat,Card,,,29
230.8645,1,Training,3,Flat,Card,,,19
232.6756,1,Training,3,Flat,Card,,,9
241.1756,1,Training,3,Flat,Result,,,
242.5978,1,Training,3,Flat,Prepare,,,
243.7978,1,Training,3,Flat,ShowPattern,,,
244.7867,1,Training,3,Flat,Card,28,,
244.9422,1,Training,3,Flat,Card,1,,
245.0089,1,Training,3,Flat,Card,24,,
255.32,1,Training,3,Flat,Card,,24,
256.2978,1,Training,3,Flat,Card,,1,
259.6756,1,Training,3,Flat,Card,,28,
260.0978,1,Training,3,Flat,Card,7,,
260.1422,1,Training,3,Flat,Card,22,,
261.7645,1,Training,3,Flat,Card,,7,
263.1422,1,Training,3,Flat,Card,,22,
263.1422,1,Training,3,Flat,Distractor,,,
274.4533,1,Training,3,Flat,Bingo,,,
277.9089,1,Training,3,Flat,Bingo,,,
280.2978,1,Training,3,Flat,SelectedCards,,,
287.8978,1,Training,3,Flat,Card,,,0
292.0311,1,Training,3,Flat,Card,,,26
297.3867,1,Training,3,Flat,Card,,,4
301.0089,1,Training,3,Flat,Card,,,7
303.4089,1,Training,3,Flat,Card,,,32
304.8422,1,Training,3,Flat,Result,,,
306.5089,1,Training,3,Flat,Prepare,,,
310.32,1,Training,3,Flat,ShowPattern,,,
310.3422,1,Training,3,Flat,Card,6,,
311.4533,1,Training,3,Flat,Card,16,,
311.62,1,Training,3,Flat,Card,13,,
315.7867,1,Training,3,Flat,Card,34,,
315.8422,1,Training,3,Flat,Card,11,,
321.8311,1,Training,3,Flat,Card,,13,
323.7756,1,Training,3,Flat,Card,,16,
326.5978,1,Training,3,Flat,Card,,6,
329.8978,1,Training,3,Flat,Card,,34,
330.6534,1,Training,3,Flat,Card,,11,
330.6534,1,Training,3,Flat,Distractor,,,
348.52,1,Training,3,Flat,SelectedCards,,,
352.5978,1,Training,3,Flat,Card,,,13
354.4422,1,Training,3,Flat,Card,,,16
362.0422,1,Training,3,Flat,Card,,,7
365.22,1,Training,3,Flat,Card,,,32
371.1867,1,Training,3,Flat,Card,,,35
373.2311,1,Training,3,Flat,Result,,,
375.2534,1,Training,3,Flat,Prepare,,,
377.6645,1,Training,3,Flat,ShowPattern,,,
377.6867,1,Training,3,Flat,Card,17,,
378.7534,1,Training,3,Flat,Card,26,,
378.7645,1,Training,3,Flat,Card,1,,
385.02,1,Training,3,Flat,Card,32,,
385.3089,1,Training,3,Flat,Card,22,,
399.4178,3,1,3,Flat,Prepare,,,
401.9955,3,1,3,Flat,ShowPattern,,,
402.0289,3,1,3,Flat,Card,5,,
403.2733,3,1,3,Flat,Card,26,,
403.3178,3,1,3,Flat,Card,1,,
407.7956,3,1,3,Flat,Card,30,,
408.7178,3,1,3,Flat,Card,23,,
414.4955,3,1,3,Flat,Card,,1,
415.5733,3,1,3,Flat,Card,,26,
418.3289,3,1,3,Flat,Card,,5,
421.7289,3,1,3,Flat,Card,,23,
425.9955,3,1,3,Flat,Card,,30,
425.9955,3,1,3,Flat,Distractor,,,
440.94,3,1,3,Flat,SelectedCards,,,
445.1956,3,1,3,Flat,Card,,,1
446.6622,3,1,3,Flat,Card,,,26
453.2178,3,1,3,Flat,Card,,,6
459.04,3,1,3,Flat,Card,,,22
460.8733,3,1,3,Flat,Card,,,33
463.2844,3,1,3,Flat,Result,,,
465.3067,4,2,3,Flat,Prepare,,,
466.4622,4,2,3,Flat,ShowPattern,,,
466.4844,4,2,3,Flat,Card,4,,
467.3733,4,2,3,Flat,Card,14,,
