ParticipantID,TrialNo,TrialID,Layout,Difficulty,AnswerAccuracy,,,ShootAccuracy,,Card1SeenTime,Card2SeenTime,Card3SeenTime,Card4SeenTime,Card5SeenTime,Card1SelectTime,Card2SelectTime,Card3SelectTime,Card4SelectTime,Card5SelectTime
1,1,Training,Flat,2,2,100.00%,79.20%,2,24,0.8878961,5.31952,,,,4.053402,7.962814,,,
1,2,1,Flat,3,3,100.00%,,1,,0.01100513,1.065943,5.98602,,,2.876323,5.219531,8.584855,,
1,3,2,Flat,3,3,100.00%,,4,,0.2111014,4.198153,4.474689,,,3.274598,6.685923,7.330568,,
1,4,3,Flat,3,3,100.00%,,3,,0.01123803,3.803308,7.735082,,,2.304077,6.591136,9.667925,,
1,5,4,Flat,5,3,60.00%,,1,,0.01094161,0.01094161,0.5219611,0.8437955,8.373435,2.765076,3.842683,4.531055,5.752279,9.473517
1,6,5,Flat,5,2,40.00%,,2,,0.01102309,0.3552591,0.4219122,0.8652963,5.241984,1.998973,3.276242,4.852879,5.763909,8.229436
1,7,6,Flat,5,5,100.00%,,3,,0.011179,0.5111527,4.709009,4.764586,4.864463,2.010525,4.064998,7.174861,7.851707,8.907136
1,8,Training,LimitedFlat,2,2,100.00%,,1,,3.675329,8.606189,,,,4.697012,9.983545,,,
1,9,7,LimitedFlat,3,2,66.70%,,1,,1.211712,3.554848,8.488338,,,2.53312,4.299164,9.408021,,
1,10,8,LimitedFlat,3,2,66.70%,,2,,2.898442,5.041797,8.818035,,,3.775758,5.874205,10.11728,,
1,11,9,LimitedFlat,3,1,33.30%,,1,,1.132834,6.397031,10.86182,,,2.576882,8.340982,11.53918,,
1,12,10,LimitedFlat,5,5,100.00%,,0,,0.7203286,0.7312971,5.096148,5.272896,10.97135,1.83076,2.530192,5.862028,6.650014,12.13726
1,13,11,LimitedFlat,5,5,100.00%,,2,,0.4244478,1.043987,6.764558,10.04098,12.46165,1.999912,2.599616,7.38597,11.04074,13.38409
1,14,12,LimitedFlat,5,0,0.00%,,1,,0.01120884,1.210623,3.453742,9.251245,9.506707,2.165439,4.364599,8.87343,10.11748,10.71719
1,15,Training,FullCircle,2,0,0.00%,69.20%,2,34,0.9218285,3.942588,,,,1.865817,4.56486,,,
1,16,13,FullCircle,3,3,100.00%,,3,,0.01116264,2.598177,6.385431,,,1.743751,3.742721,7.196711,,
1,17,14,FullCircle,3,3,100.00%,,3,,0.4217887,1.987802,4.253567,,,1.321639,2.698698,5.064733,,
1,18,15,FullCircle,3,3,100.00%,,2,,0.8770882,3.631448,5.130682,,,1.898934,4.34217,5.674834,,
1,19,16,FullCircle,5,2,40.00%,,2,,0.01256647,1.100782,3.523633,4.955465,8.076641,1.257277,1.834787,4.511577,5.166703,8.909252
1,20,17,FullCircle,5,5,100.00%,,3,,0.01135191,1.33795,4.09217,7.313077,8.468069,1.637824,2.848358,4.936059,8.046113,9.234781
1,21,18,FullCircle,5,4,80.00%,,4,,0.009256432,1.335799,2.401405,5.900648,6.122796,1.335799,2.158139,2.935738,6.822603,7.377724
1,22,Training,LimitedFullCircle,2,1,50.00%,,2,,1.166237,3.020734,,,,1.755138,3.776133,,,
1,23,19,LimitedFullCircle,3,3,100.00%,,3,,0.8378854,5.191566,6.090516,,,1.893536,5.791293,6.968576,,
1,24,20,LimitedFullCircle,3,3,100.00%,,2,,0.6695725,1.536323,5.756265,,,1.213959,1.99127,6.511853,,
1,25,21,LimitedFullCircle,3,2,66.70%,,2,,0.9824105,1.804259,8.534425,,,1.548287,2.337231,9.967341,,
1,26,22,LimitedFullCircle,5,4,80.00%,,0,,0.6937896,3.403505,3.49246,4.81394,8.256908,1.382199,4.280856,4.869529,9.055614,9.689596
1,27,23,LimitedFullCircle,5,2,40.00%,,3,,1.737351,3.570733,5.346072,5.646651,8.723015,2.625293,4.369418,6.567922,7.268171,9.389331
1,28,24,LimitedFullCircle,5,5,100.00%,,3,,1.414862,2.237298,3.759086,7.024133,10.80049,1.682025,3.114812,4.503146,7.401675,11.52208
,,,,,,74.20%,,58,,,,,,,,,,,
